kind,shape,time_a,time_b,width_a,width_b,height_a,height_b,area_a,area_b,mean_luma_a,mean_luma_b,width_change,height_change,area_change,luma_change
Butterfly,Butterfly,0.000,0.196,162,268,198,192,21324,39175,0.4195,0.4510,0.3955,0.0303,0.4557,0.0315
Bee,CompactInsect,0.000,0.157,137,205,93,124,10028,18515,0.4517,0.4771,0.3317,0.2500,0.4584,0.0253
Dragonfly,Dragonfly,0.000,0.131,181,296,254,251,9887,16582,0.3166,0.3390,0.3885,0.0118,0.4038,0.0224
Beetle,GroundInsect,0.000,0.900,146,148,228,226,24524,24665,0.1477,0.1474,0.0135,0.0088,0.0057,0.0003
Frog,Frog,0.000,1.250,211,216,171,165,27026,26836,0.3217,0.3215,0.0231,0.0351,0.0070,0.0002
Songbird,BirdOrBat,0.000,0.262,177,308,132,122,10831,20696,0.2474,0.2642,0.4253,0.0758,0.4767,0.0168
SporeMote,Spore,0.000,3.380,87,92,86,93,5928,6696,0.5773,0.5772,0.0543,0.0753,0.1147,0.0001
Wisp,Wisp,0.000,1.680,130,123,255,278,19648,20167,0.5953,0.7671,0.0538,0.0827,0.0257,0.1718
Emberfly,Emberfly,0.000,0.143,122,215,148,143,9578,15446,0.3403,0.4166,0.4326,0.0338,0.3799,0.0763
Firefly,Mote,3.740,1.247,146,146,145,145,16621,16619,0.6417,0.8958,0.0000,0.0000,0.0001,0.2541
